,id,sku,name,type,alc,ibu,price,currency,price_estimate,rating_count,rating_value,rating_best,section,country,brewery,url,last_modified
4654,f-56b33514f70fb5fb0e09516b,56b33514f70fb5fb0e09516b,Beavertown Holy Cowbell India Stout,Black IPA,5.6 º,60 IBU,0,€,,16690,3.75,5,Cervezas,España,Beavertown Brewery,https://birrapedia.com/beavertown-holy-cowbell-india-stout/f-56b33514f70fb5fb0e09516b,2016-02-04
4655,f-56b33737f70fb52811093056,56b33737f70fb52811093056,Beavertown Smog Rocket,Smoke Flavored and Wood Aged Beer,5.4 º,29 IBU,4.95,EUR,,21939,3.73,5,Cervezas,Gran Bretaña,Beavertown Brewery,https://birrapedia.com/beavertown-smog-rocket/f-56b33737f70fb52811093056,2016-02-04
4656,f-57165bd01603dadf5285ec96,57165bd01603dadf5285ec96,Ayinger Kellerbier,Kellerbier,4.9 º,,2.7,EUR,3.5,5951,3.52,5,Cervezas,Alemania,Brauerei Aying,https://birrapedia.com/ayinger-kellerbier/f-57165bd01603dadf5285ec96,2016-04-19
4657,f-527f4e59d187e401090041ff,527f4e59d187e401090041ff,Pilsner Urquell,Pilsner,4.4 º,40 IBU,1.55,EUR,,270513,3.35,5,Cervezas,República Checa,Pilsner Urquell,https://birrapedia.com/pilsner-urquell/f-527f4e59d187e401090041ff,2016-08-23
4658,f-527f4e52d187e40109001dae,527f4e52d187e40109001dae,Anchor Old Foghorn Barley Wine Style Ale,American Barleywine,8-10 º,52 IBU,87.88,EUR,4.35,35553,3.62,5,Cervezas,Estados Unidos de América,Anchor Brewing,https://birrapedia.com/anchor-old-foghorn-barley-wine-style-ale/f-527f4e52d187e40109001dae,2017-01-31
4659,f-527f4e55d187e40109002e4a,527f4e55d187e40109002e4a,Anchor Porter,Porter,5.6 º,40 IBU,2.95,EUR,,81116,3.59,5,Cervezas,Estados Unidos de América,Anchor Brewing,https://birrapedia.com/anchor-porter/f-527f4e55d187e40109002e4a,2020-01-20
4660,f-55fa6eb0f70fb50c3f0da69f,55fa6eb0f70fb50c3f0da69f,Ayinger Urweisse,Dunkelweizen,5.8 º,13 IBU,2.7,EUR,,32441,3.76,5,Cervezas,Alemania,Brauerei Aying,https://birrapedia.com/ayinger-urweisse/f-55fa6eb0f70fb50c3f0da69f,2017-05-10
4661,f-55f16b02f70fb5744e5346b7,55f16b02f70fb5744e5346b7,Anderson Valley Hop Ottin’ IPA,American IPA,7 º,78 IBU,2.8,EUR,2.8,93442,3.56,5,Cervezas,Estados Unidos de América,Anderson Valley Brewing Company,https://birrapedia.com/anderson-valley-hop-ottin-ipa/f-55f16b02f70fb5744e5346b7,2017-06-13
4662,f-527f4e58d187e40109003d7c,527f4e58d187e40109003d7c,Leffe Blonde,Belgian Blonde Ale,6.6 º,20 IBU,32.68,EUR,,345187,3.58,5,Cervezas,Bélgica,Abbaye de Leffe,https://birrapedia.com/leffe-blonde/f-527f4e58d187e40109003d7c,2017-12-20
4663,f-55e9daa9f70fb58e283af248,55e9daa9f70fb58e283af248,Flying Dog Raging Bitch,Belgian IPA,8.3 º,60 IBU,2.47,EUR,,199437,3.66,5,Cervezas,Estados Unidos de América,Flying Dog Brewery,https://birrapedia.com/flying-dog-raging-bitch/f-55e9daa9f70fb58e283af248,2018-03-13
4664,f-5b12a5d11603daf3598b4b20,5b12a5d11603daf3598b4b20,Collective Arts Dry Hop Sour,Sour Ale,5.2 º,,0,€,,16103,3.8,5,Cervezas,Canada,Collective Arts Brewing,https://birrapedia.com/collective-arts-dry-hop-sour/f-5b12a5d11603daf3598b4b20,2018-06-02
4665,f-5be9b1211603dac3128b4c48,5be9b1211603dac3128b4c48,Mikkeller Beer Geek Vanilla Maple Cocoa,Imperial Stout,13 º,,13000,CLP,,4454,4.14,5,Cervezas,Dinamarca,Mikkeller,https://birrapedia.com/mikkeller-beer-geek-vanilla-maple-cocoa/f-5be9b1211603dac3128b4c48,2018-11-12
4666,f-585170ed1603da2647bfc477,585170ed1603da2647bfc477,Mikkeller Santa’s Little Helper,Belgian Dark Strong Ale,10.9 º,,12690,CLP,,15161,3.72,5,Cervezas,Dinamarca,Mikkeller,https://birrapedia.com/mikkeller-santa-s-little-helper/f-585170ed1603da2647bfc477,2017-12-01
4667,f-5be9b66d1603daff258b484c,5be9b66d1603daff258b484c,Northern Monk Éternité,India Pale Ale,4.1 º,20 IBU,0,€,,1008,3.57,5,Cervezas,Gran Bretaña,Northern Monk,https://birrapedia.com/northern-monk-eternite/f-5be9b66d1603daff258b484c,2018-11-12
4668,f-5669b372f70fb51d6848c6b7,5669b372f70fb51d6848c6b7,Cruzcampo Radler,Fruit Beer,2.2 º,,0.5,EUR,0.5,5607,2.85,5,Cervezas,España,Cruzcampo,https://birrapedia.com/cruzcampo-radler/f-5669b372f70fb51d6848c6b7,2015-12-10
4669,f-5624e12ef70fb53473546601,5624e12ef70fb53473546601,La Chouffe Houblon,Belgian Tripel,9 º,59 IBU,3.95,EUR,,135938,3.72,5,Cervezas,Bélgica,Brasserie d’Achouffe,https://birrapedia.com/la-chouffe-houblon/f-5624e12ef70fb53473546601,2017-01-13
4670,f-58540b721603dabb19bfc345,58540b721603dabb19bfc345,Keltius Quadrupel,Christmas-Winter Specialty Spiced Beer,10 º,,0,€,,555,3.59,5,Cervezas,España,In Peccatum Craft Beer,https://birrapedia.com/keltius-quadrupel/f-58540b721603dabb19bfc345,2016-12-16
4671,f-5630f533f70fb5a14e13ccc3,5630f533f70fb5a14e13ccc3,Augustijn Donker,Belgian Dubbel,8 º,,44.32,EUR,2.2,10315,3.49,5,Cervezas,Bélgica,Brouwerij Van Steenberge,https://birrapedia.com/augustijn-donker/f-5630f533f70fb5a14e13ccc3,2020-02-05
4672,f-56ee5adcf70fb55305c230cb,56ee5adcf70fb55305c230cb,Schwaben Bräu Das Schwarze,Dark Lager,4.9 º,,2.25,EUR,2.25,8780,3.37,5,Cervezas,Alemania,Dinkelacker-Schwaben Bräu,https://birrapedia.com/schwaben-brau-das-schwarze/f-56ee5adcf70fb55305c230cb,2016-03-21
4673,f-56b1ca15f70fb559550937cf,56b1ca15f70fb559550937cf,La Bière du Boucanier Golden,Belgian Strong Ale,11 º,30 IBU,2.55,EUR,2.8,4439,3.51,5,Cervezas,Bélgica,Brouwerij Van Steenberge,https://birrapedia.com/la-biere-du-boucanier-golden/f-56b1ca15f70fb559550937cf,2019-03-12
4674,f-57920b801603dac5237b992e,57920b801603dac5237b992e,De Dochter van de Korenaar Noblesse Extra-Ordinaire,Belgian and French Ale,7 º,42 IBU,3.5,EUR,41.74,5718,3.62,5,Cervezas,Bélgica,De Dochter van de Korenaar,https://birrapedia.com/de-dochter-van-de-korenaar-noblesse-extra-ordinaire/f-57920b801603dac5237b992e,2017-09-29
4675,f-527f4e5dd187e40109005367,527f4e5dd187e40109005367,St Feuillien Blonde,Belgian Golden Strong Ale,8.5 º,28 IBU,4.9,EUR,,36891,3.51,5,Cervezas,Bélgica,Brasserie St-Feuillien,https://birrapedia.com/st-feuillien-blonde/f-527f4e5dd187e40109005367,2018-11-27
4676,f-56b4c988f70fb5b90a655ab2,56b4c988f70fb5b90a655ab2,Petrus Dubbel,Belgian Dubbel,6.5 º,22 IBU,1.99,EUR,2.25,18496,3.37,5,Cervezas,Bélgica,Bavik - De Brabandere,https://birrapedia.com/petrus-dubbel/f-56b4c988f70fb5b90a655ab2,2018-11-12
4677,f-527f4e5cd187e40109004f89,527f4e5cd187e40109004f89,Gordon Finest Gold,Belgian Golden Strong Ale,10 º,,45.06,EUR,,9942,3.09,5,Cervezas,Bélgica,Timmermans. Anthony Martin,https://birrapedia.com/gordon-finest-gold/f-527f4e5cd187e40109004f89,2017-04-20
4678,f-5551d4a8f70fb56b4c94b2e9,5551d4a8f70fb56b4c94b2e9,Maredsous 8 Bruin,Belgian Dubbel,8 º,24 IBU,2.35,EUR,2.35,59312,3.65,5,Cervezas,Bélgica,Duvel Moortgat,https://birrapedia.com/maredsous-8-bruin/f-5551d4a8f70fb56b4c94b2e9,2015-05-12
4679,f-55523846f70fb5372694c37f,55523846f70fb5372694c37f,Piraat,Belgian Strong Ale,10.5 º,23 IBU,21.85,EUR,,82898,3.67,5,Cervezas,Bélgica,Brouwerij Van Steenberge,https://birrapedia.com/piraat/f-55523846f70fb5372694c37f,2015-05-12
4680,f-55f15b48f70fb5270b534226,55f15b48f70fb5270b534226,Anderson Valley Heelch O`Hops,Imperial IPA,8.7 º,100 IBU,0,€,,36167,3.74,5,Cervezas,Estados Unidos de América,Anderson Valley Brewing Company,https://birrapedia.com/anderson-valley-heelch-o-hops/f-55f15b48f70fb5270b534226,2015-10-07
4681,f-5631ef72f70fb5032f13cc83,5631ef72f70fb5032f13cc83,Verhaeghe Duchesse de Bourgogne,Flanders Red Ale,7.2 º,11 IBU,49.9,EUR,,181081,3.74,5,Cervezas,Bélgica,Brouwerij Verhaeghe,https://birrapedia.com/verhaeghe-duchesse-de-bourgogne/f-5631ef72f70fb5032f13cc83,2015-10-30
4682,f-527f4e5dd187e40109005179,527f4e5dd187e40109005179,Clausthaler Classic,Sin Alcohol,0.5 º,29 IBU,32.4,EUR,,22857,2.39,5,Cervezas,Alemania,Binding Brauerei,https://birrapedia.com/clausthaler-classic/f-527f4e5dd187e40109005179,2019-09-03
4683,f-527f4e4fd187e40109001303,527f4e4fd187e40109001303,La Socarrada,"Spice, Herb o Vegetable Beer",6 º,23 IBU,2.75,EUR,2.875,10899,3.44,5,Cervezas,España,La Socarrada,https://birrapedia.com/la-socarrada/f-527f4e4fd187e40109001303,2017-03-16
4684,f-56ebef36f70fb5e6635fb99c,56ebef36f70fb5e6635fb99c,Staropramen Premium Lager,Lager,5 º,27 IBU,1.8,EUR,1.45,128439,3.23,5,Cervezas,República Checa,Pivovary Staropramen s.r.o.,https://birrapedia.com/staropramen-premium-lager/f-56ebef36f70fb5e6635fb99c,2018-06-22
4685,f-5af2aad01603dade498b45a8,5af2aad01603dade498b45a8,Ballast Point Fathom IPA,American IPA,6 º,50 IBU,2600,CLP,,72924,3.64,5,Cervezas,Estados Unidos de América,Ballast Point,https://birrapedia.com/ballast-point-fathom-ipa/f-5af2aad01603dade498b45a8,2018-05-09
4686,f-5b1f70671603da8a268b45a8,5b1f70671603da8a268b45a8,New Holland Dragon’s Milk,Imperial Stout,11 º,31 IBU,6.95,EUR,6.970000000000001,247342,4.06,5,Cervezas,Estados Unidos de América,New Holland Brewing,https://birrapedia.com/new-holland-dragon-s-milk/f-5b1f70671603da8a268b45a8,2018-06-12
4687,f-5b1f6ecc1603da52258b45f5,5b1f6ecc1603da52258b45f5,New Holland The Poet,Oatmeal Stout,5.2 º,37 IBU,4.41,EUR,4.41,82244,3.77,5,Cervezas,Estados Unidos de América,New Holland Brewing,https://birrapedia.com/new-holland-the-poet/f-5b1f6ecc1603da52258b45f5,2018-06-12
4688,f-56e7dab1f70fb5d8495fb222,56e7dab1f70fb5d8495fb222,Ballast Point Grapefruit Sculpin,India Pale Ale,7 º,70 IBU,94,MXN,,314078,3.97,5,Cervezas,Estados Unidos de América,Ballast Point,https://birrapedia.com/ballast-point-grapefruit-sculpin/f-56e7dab1f70fb5d8495fb222,2016-03-15
